RegionID,SizeRank,RegionName,RegionType,StateName,zhvi_mid_all,snapshot_date_zhvi_mid_all,zhvi_mid_all_raw,snapshot_date_zhvi_mid_all_raw,zhvi_mid_sfr,snapshot_date_zhvi_mid_sfr,zhvi_mid_condo,snapshot_date_zhvi_mid_condo,zhvi_bottom_all,snapshot_date_zhvi_bottom_all,zhvi_top_all,snapshot_date_zhvi_top_all,zhvi_mid_1br,snapshot_date_zhvi_mid_1br,zhvi_mid_2br,snapshot_date_zhvi_mid_2br,zhvi_mid_3br,snapshot_date_zhvi_mid_3br,zhvi_mid_4br,snapshot_date_zhvi_mid_4br,zhvi_mid_5br,snapshot_date_zhvi_mid_5br,zori_rent_index,snapshot_date_zori_rent_index,inventory_for_sale,snapshot_date_inventory_for_sale,new_listings,snapshot_date_new_listings,new_pending,snapshot_date_new_pending,sales_count,snapshot_date_sales_count,new_construction_sales_count,snapshot_date_new_construction_sales_count,median_sale_price_now,snapshot_date_median_sale_price_now,median_sale_to_list,snapshot_date_median_sale_to_list,pct_sold_above_list,snapshot_date_pct_sold_above_list,pct_listings_price_cut,snapshot_date_pct_listings_price_cut,median_days_to_close,snapshot_date_median_days_to_close,market_temp_index,snapshot_date_market_temp_index,income_needed_to_buy_20pct_mid,snapshot_date_income_needed_to_buy_20pct_mid,income_needed_to_rent_mid,snapshot_date_income_needed_to_rent_mid,zhvf_base_date,zhvf_growth_1m,zhvf_growth_3m,zhvf_growth_12m
394740,830,"Kennett, MO",msa,MO,85242.81860622612,2025-10-31,85367.99411661667,2025-10-31,85183.0887890517,2025-10-31,,,43023.233351791656,2025-10-31,159423.48720734674,2025-10-31,,,,,123332.7545945811,2025-10-31,,,,,,,104.0,2025-10-31,24.0,2025-10-31,14.0,2025-10-31,,,,,,,,,,,0.0582874511362883,2025-10-31,,,50.0,2025-10-31,,,,,2025-10-31,-0.4,-1.3,-6.1
753926,831,"Weatherford, OK",msa,OK,172757.32195235882,2025-10-31,172963.80592108154,2025-10-31,172863.14301464675,2025-10-31,,,88566.13784476071,2025-10-31,312751.16375379614,2025-10-31,,,85412.56507722124,2025-10-31,189924.4687717528,2025-10-31,271097.01299244066,2025-10-31,297941.15734785394,2025-10-31,931.25,2025-10-31,131.0,2025-10-31,27.0,2025-10-31,20.0,2025-10-31,,,,,,,,,,,,,,,42.0,2025-10-31,,,,,2025-10-31,-0.1,-0.3,1.0
394892,832,"Mountain Home, ID",msa,ID,347718.86270362366,2025-10-31,348478.28910104046,2025-10-31,347621.76614956814,2025-10-31,,,261719.70543364788,2025-10-31,484741.7105285535,2025-10-31,230889.67040001924,2025-10-31,247648.16836154205,2025-10-31,340180.5779742882,2025-10-31,389595.74198373547,2025-10-31,467175.3329714472,2025-10-31,1691.25,2025-10-31,149.0,2025-10-31,36.0,2025-10-31,29.0,2025-10-31,,,12.0,2025-09-30,,,0.992360747178978,2025-09-30,0.2222222222222222,2025-09-30,0.02197752806941,2025-10-31,31.0,2025-09-30,31.0,2025-10-31,,,,,2025-10-31,0.1,0.5,3.0
394864,833,"Mineral Wells, TX",msa,TX,273986.5241944409,2025-10-31,274232.4634885747,2025-10-31,267900.422351696,2025-10-31,394294.8016951265,2025-10-31,137721.11859353006,2025-10-31,749334.6449731094,2025-10-31,,,228468.84398859585,2025-10-31,288985.2142760007,2025-10-31,554829.4918823536,2025-10-31,1450859.9154483413,2025-10-31,1600.0,2025-10-31,342.0,2025-10-31,48.0,2025-10-31,34.0,2025-10-31,,,,,,,0.9563650424585256,2025-09-30,0.1296120598777145,2025-09-30,0.0358110686872075,2025-10-31,26.0,2025-09-30,39.0,2025-10-31,,,,,2025-10-31,-0.2,-0.4,0.4
394795,834,"Lincoln, IL",msa,IL,132494.79550401762,2025-10-31,134920.8071878407,2025-10-31,132333.68963531745,2025-10-31,,,73024.24715064956,2025-10-31,235175.91871721836,2025-10-31,,,,,151865.69488898068,2025-10-31,,,,,,,82.0,2025-10-31,33.0,2025-10-31,27.0,2025-10-31,,,,,,,0.9962348059401428,2025-09-30,0.2797979797979797,2025-09-30,0.0503098505884185,2025-10-31,34.0,2025-09-30,64.0,2025-10-31,,,,,2025-10-31,0.8,1.3,-0.6
395100,835,"Silver City, NM",msa,NM,179776.07538844467,2025-10-31,177810.83629987866,2025-10-31,179624.1185807168,2025-10-31,,,93800.64494257548,2025-10-31,335020.1099676152,2025-10-31,137497.12605961348,2025-10-31,158981.4223211757,2025-10-31,237703.661777223,2025-10-31,308426.00392132666,2025-10-31,370685.438208239,2025-10-31,,,193.0,2025-10-31,34.0,2025-10-31,22.0,2025-10-31,,,,,,,,,,,0.0343522835789099,2025-10-31,,,42.0,2025-10-31,,,,,2025-10-31,-0.9,-2.1,-4.2
753879,836,"Elkins, WV",msa,WV,157825.76270961482,2025-10-31,158382.86700382025,2025-10-31,157813.04072573088,2025-10-31,,,87667.5304556128,2025-10-31,264311.7518713999,2025-10-31,76387.39330146399,2025-10-31,111908.24232050074,2025-10-31,170969.84638782524,2025-10-31,206022.72225615237,2025-10-31,250228.1007360628,2025-10-31,,,95.0,2025-10-31,17.0,2025-10-31,11.0,2025-10-31,,,,,,,,,,,0.0473942232318125,2025-10-31,,,17.0,2025-10-31,,,,,2025-10-31,0.0,0.2,1.1
394812,838,"Macomb, IL",msa,IL,93869.0941315955,2025-10-31,94580.87617079972,2025-10-31,93785.71378048544,2025-10-31,,,46258.81106169352,2025-10-31,186667.71854994804,2025-10-31,39783.55412397998,2025-10-31,62783.37538432237,2025-10-31,98505.30043695588,2025-10-31,134512.05605170396,2025-10-31,141944.59354060818,2025-10-31,,,126.0,2025-10-31,30.0,2025-10-31,20.0,2025-10-31,,,,,,,,,,,0.0342395160204412,2025-10-31,,,47.0,2025-10-31,,,,,2025-10-31,0.3,0.1,-2.0
394435,839,"Camden, AR",msa,AR,98489.59045317066,2025-10-31,98523.58002299938,2025-10-31,98630.33243250672,2025-10-31,,,42419.23043256814,2025-10-31,202787.2803757181,2025-10-31,,,,,155104.8299443213,2025-10-31,220712.73232429757,2025-10-31,,,,,106.0,2025-10-31,30.0,2025-10-31,13.0,2025-10-31,,,,,,,,,,,,,,,39.0,2025-10-31,,,,,2025-10-31,-0.2,-0.9,-5.4
394508,840,"Crescent City, CA",msa,CA,360859.40064368537,2025-10-31,362034.0187427559,2025-10-31,360861.4306832405,2025-10-31,,,233631.52688219,2025-10-31,524464.4918466881,2025-10-31,,,,,379967.4756930103,2025-10-31,,,,,,,152.0,2025-10-31,22.0,2025-10-31,10.0,2025-10-31,,,,,,,,,,,,,,,50.0,2025-10-31,,,,,2025-10-31,0.0,0.0,-0.9
